id,state,lat,lon
USC00041244,CA,35.4047,-119.4731
USC00041253,CA,34.5825,-119.9817
USC00041277,CA,38.2769,-120.3114
USC00041288,CA,32.6881,-115.4644
USC00041312,CA,38.5961,-122.6014
USC00041316,CA,41.3111,-122.8045
USC00041428,CA,38.2486,-120.8433
USC00041484,CA,34.1819,-118.5744
USC00041497,CA,40.1703,-121.0883
USC00041534,CA,36.4806,-121.7244
USC00041606,CA,41.1417,-123.1392
USC00041614,CA,41.5306,-120.1803
USC00041680,CA,34.25,-118.6
USC00041697,CA,37.9747,-119.9161
USC00041700,CA,40.3033,-121.2422
USC00041715,CA,39.6911,-121.8211
USC00041738,CA,33.6617,-115.7206
USC00041758,CA,32.64,-117.0858
USC00041806,CA,38.9239,-122.5672
USC00041838,CA,38.8,-123.0175
USC00041864,CA,36.1356,-120.3606
USC00041878,CA,37.2503,-119.7053
USC00041907,CA,40.4,-122.1433
USC00041912,CA,39.0911,-120.9481
USC00041916,CA,39.3308,-121.1922
USC00041948,CA,39.1875,-122.0269
USC00041967,CA,37.9833,-122.0692
USC00041990,CA,41.9797,-122.3378
USC00042012,CA,36.0975,-119.5817
USC00042081,CA,39.8158,-123.2444
USC00042090,CA,34.0919,-117.8806
USC00042147,CA,41.7958,-124.2147
USC00042198,CA,34.3175,-117.8419
USC00042214,CA,34.0053,-118.4136
USC00042239,CA,32.9897,-116.5872
USC00042294,CA,38.535,-121.7761
USC00042319,CA,36.4622,-116.8669
USC00042327,CA,33.6514,-116.3764
USC00042331,CA,37.3739,-117.9803
USC00042346,CA,35.7683,-119.26
USC00042402,CA,39.8717,-121.6108
USC00042406,CA,32.85,-116.6167
USC00042410,CA,33.7378,-115.3925
USC00042456,CA,39.3575,-121.2011
USC00042467,CA,39.3239,-120.2331
USC00042494,CA,33.9297,-118.1456
USC00042500,CA,39.5633,-120.8239
USC00042504,CA,40.0244,-120.1044
USC00042506,CA,39.9717,-120.0828
USC00042574,CA,41.1833,-122.2736
USC00042598,CA,33.8089,-115.4508
USC00042640,CA,39.3592,-122.5178
USC00042671,CA,38.7833,-120.0333
USC00042706,CA,32.8139,-116.975
USC00042709,CA,32.8839,-116.8164
USC00042713,CA,32.7669,-115.5617
USC00042728,CA,38.3306,-120.6706
USC00042756,CA,37.9356,-119.2306
USC00042760,CA,38.2333,-121.2
USC00042771,CA,34.5892,-117.6303
USC00042805,CA,33.6692,-117.3319
USC00042863,CA,33.1211,-117.0883
USC00042920,CA,37.585,-120.2672
USC00042934,CA,38.2736,-122.0678
USC00042941,CA,34.705,-118.4242
USC00042964,CA,41.0081,-121.435
USC00043038,CA,38.5236,-120.7061
USC00043083,CA,36.3642,-120.1561
USC00043134,CA,39.01,-120.845
USC00043157,CA,41.52,-120.09
USC00043161,CA,39.5092,-123.7567
USC00043191,CA,38.515,-123.2447
USC00043244,CA,37.5422,-122.0158
USC00043256,CA,36.7525,-119.7017
USC00043261,CA,36.9969,-119.7072
USC00043357,CA,41.8453,-123.9647
USC00043369,CA,37.7519,-119.1403
USC00043384,CA,38.9331,-120.8008
USC00043392,CA,34.0869,-118.4794
USC00043402,CA,34.5225,-119.6822
USC00043417,CA,37.0067,-121.5633
